"KARACHI","PAKISTAN","25","67"
"KATMANDU","NEPAL","27.5","85"
"KERGUELEN IS.","","-50","70"
"KERMADEC IS.","","-30","-178"
"KHABAROVSK","RUSSIA","48","135"
"KHARTOUM","SUDAN","15.6","32.5"
"KIEV","UKRAINE","50.5","31"
"KIMBERLY","SO.AFRICA","-28.75","24.78"
"KING GEORGE IS.","","-62.0001","-58.50001"
"KINGMAN REEF","","7.5","-162.8"
"KINSHASA","ZAIRE","-4.3","15.3"
"KIRGHIZ","","42","75"
"KIRIBATI (CENTRAL)","","-4","-171"
"KIRIBATI (EAST)","","-10","-150"
"KIRIBATI (WEST)","","-5","175"
"KIRUNA","SWEDEN","67.83","20.43"
"KISANGANI","ZAIRE","1","25"
"KISHINEV","MOLDAVIA","47","29"
"KNOXVILLE","TENN","36","-83.9"
"KRACOW","POLAND","50","20"
"KRASNOYARSK","RUSSIA","56","93"
"KUALA LAMPUR","MALAYSIA","3.2","101.7"
"KUIBYSHEV","RUSSIA","53.5","50.5"
"KURE IS.","","28.5","-178.5"
"KUWAIT","","29","48"
"LA PAZ","BOLIVIA","-16.5","-68.13"
"LACCADIVE IS.","","10","70"
"LAGOS","NIGERIA","6.5","3"
"LAND'S END","ENGLAND","50","-5.6"
"LAO","","18","102.5"
"LAS VEGAS","NEVADA","36.2","-115.1"
"LENINGRAD","RUSSIA","60","30"
"LESOTHO","","-29.5","28"
"LEXINGTON","KY","38","-84.5"
"LIBREVILLE","GABON",".5","9"
"LICHTENSTEIN","","47","9.5"
"LIMA","PERU","-12","-77"
"LISBON","PORTUGAL","38.7","-9.2"
"LITTLE ROCK","ARK","34.7","-92.3"
"LONDON","ENGLAND","51.5",".1"
"LONDON","ONT","43","-81.3"
"LORD HOWE IS.","","-31.6","159.1"
"LOS ANGELES","CA","34.1","-118.2"
"LOUISVILLE","KY","38.2","-85.8"
"LOURENCO MARQUES","MOZ.","-26","33"
"LUBUMBASHI","ZAIRE","-12","27.5"
"LUSAKA","ZAMBIA","-15","28"
"LUTHER","MICHIGAN","44.1","-85.7"
"LUXEMBOURG","","49","6.5"
"MACAO","","22","114"
"MACQUARIE IS.","","-54.7","158.8"
"MADAGASCAR","","-18.92","47.55"
"MADANG","PAPUA N.GUINEA","-5.2","145.6"
"MADEIRA IS.","","33","-17"
"MADRID","SPAIN","40.4","-3.7"
"MAIPELO IS.","","4","-81.1"
"MALAGASY","","18.5","47"
"MALDIVE IS.","",".5","73"
"MALTA","","36","14.4"
"MANAGUA","NICARAGUA","12","-86"
"MANCHESTER","ENGLAND","53.5","-2.2"
"MANIHIKI","COOK IS.","-10.5","-161"
"MANILA","PHILIPPINES","14.67","121"
"MARION IS.","","-46.8","37.8"
"MARKET","","60.3","19"
"MARSEILLE","FRANCE","43.3","5.4"
"MARSHALL IS.","","12","167"
"MARTIN VAZ IS.","","19","-29"
"MARTINIQUE","","15","-61"
"MASQAT","OMAN","23.5","59"
"MAURITANIA","","18","-16"
"MAURITIUS","","-20.3","57.5"
"MAYLASIA (WEST)","","3","102"
"MAYOTTE","","-13","45.3"
"MCMURDO SOUND","ANTARC.","-77.5","167"
"MECCA","SAUDI ARABIA","22","40"
"MELBOURNE","AUSTRALIA","-37.83","144.98"
"MELILLA","","35.3","-3"
"MELLISH REEF","","-17.6","155.8"
"MEMPHIS","TENN","35.1","-90.1"
"MERIDA","YUCATAN","20.95","-89.62"
"MERIDA","MEXICO","21","-89.7"
"MEXICO CITY","MEXICO","19.4","-99.1"
"MIAMI","FLA","25.8","-80.2"
"MIDWAY IS.","","28","-177.5"
"MILWAUKEE","WISCONSIN","43","-87.9"
"MINAMI","","25","154"
"MINNEAPOLIS","MINN","45","-93.3"
"MINSK","BELARUS","54","27.5"
"MOGADISHO","SOMALI","2","46"
"MONACO","","44","7.5"
"MONROVIA","LIBERIA","7","-11"
"MONTEVIDEO","URUGUAY","-34.9","-56.2"
"MONTGOMERY","ALA","32.4","-86.3"
"MONTPELIER","VERMONT","44.3","-72.6"
"MONTREAL","QUE","45.5","-73.6"
"MONTSERRAT","","16.8","-62.2"
"MOOSENEE","ONT","51.3","-80.6"
"MORONI","COMOROS","-11.8","43.7"
"MOSCOW","RUSSIA","55.73","37.5"
"MOUNT ATHOS","GREECE","40.2","24.3"
"MOZAMBIQUE","MOZAMBQ","-15","41"
"MUMBAI","INDIA","18.9","72.82"
"MUMBAI","INDIA","18.90","72.82"
"NAIROBI","KENYA","-1.5","37.5"
"NANKING","CHINA","32.85","118.8"
"NASHVILLE","TENN","36.2","-86.8"
"NASSAU","BAHAMAS","25","-77.5"
